
project<,>/ˈprɒdʒekt/<,>/ˈprɑːdʒekt/<,>n.工程/n.课题/n.作业<,>The new highway project will start next month.<,>新的高速公路工程将于下个月开工。<,>Our group is working on a science project.<,>我们小组正在做一个科学课题。<,>She spent all weekend finishing her art project.<,>她花了整个周末完成她的美术作业。<,>pro(向前)+ject(投掷)→向前投→规划的项目<,>reject(v.拒绝)/inject(v.注射)/object(n.物体)

heavy<,>/ˈhevi/<,>/ˈhɛvi/<,>adj.重的/adj.大的/adj.充满的<,>The box was too heavy to lift.<,>这个箱子太重了搬不动。<,>We had heavy rain last night.<,>昨晚下了大雨。<,>The air was heavy with the scent of flowers.<,>空气中充满了花香。<,>he(他)+avy(看作have有)→他有重物<,>heaven(n.天堂)/heady(adj.令人陶醉的)/hearty(adj.衷心的)

loan<,>/ləʊn/<,>/loʊn/<,>n.贷款/n.暂借/v.借出<,>I took out a loan to buy a car.<,>我贷款买了辆车。<,>Can you loan me some money?<,>你能借我些钱吗？<,>The library loans books for two weeks.<,>图书馆借书期限是两周。<,>lone(孤独的)+a→孤独时需要借钱<,>moan(v.呻吟)/groan(v.呻吟)/loin(n.腰部)

peach<,>/piːtʃ/<,>/piːtʃ/<,>n.桃子/n.桃树<,>She bit into a juicy peach.<,>她咬了一口多汁的桃子。<,>The peach tree in our garden is blooming.<,>我们花园里的桃树开花了。<,>Peach is my favorite fruit.<,>桃子是我最喜欢的水果。<,>pea(豌豆)+ch→比豌豆大的水果→桃子<,>beach(n.海滩)/reach(v.到达)/preach(v.布道)

danger<,>/ˈdeɪndʒə(r)/<,>/ˈdeɪndʒər/<,>n.危险/n.危险事物<,>Smoking is a danger to health.<,>吸烟危害健康。<,>The sign warned of danger ahead.<,>标志警告前方有危险。<,>He was in great danger during the storm.<,>他在暴风雨中处于极度危险中。<,>dang(拼音"当")+er→当心危险<,>anger(n.愤怒)/stranger(n.陌生人)/manger(n.马槽)

horsepower<,>/ˈhɔːspaʊə(r)/<,>/ˈhɔːrspaʊər/<,>n.马力<,>This car has 200 horsepower.<,>这辆车有200马力。<,>Horsepower is a unit of power.<,>马力是功率单位。<,>The engine's horsepower determines its performance.<,>发动机的马力决定其性能。<,>horse(马)+power(力量)→马力<,>housepower(无此词)/manpower(n.人力)/firepower(n.火力)

prevent<,>/prɪˈvent/<,>/prɪˈvɛnt/<,>v.预防/v.防止/v.阻止<,>Vaccines help prevent diseases.<,>疫苗有助于预防疾病。<,>Nothing could prevent him from going.<,>没什么能阻止他去。<,>Regular exercise can prevent heart problems.<,>经常锻炼可以预防心脏问题。<,>pre(前)+vent(来)→提前来防止<,>present(adj.现在的/n.礼物)/invent(v.发明)/event(n.事件)

yield<,>/jiːld/<,>/jild/<,>v.出产/n.产量<,>The farm yields a good harvest this year.<,>农场今年收成很好。<,>The yield of wheat has increased.<,>小麦产量增加了。<,>He yielded to pressure and resigned.<,>他迫于压力辞职了。<,>y(看作year年)+ield(看作field田地)→田地年产量<,>field(n.田地)/shield(n.盾牌)/wield(v.挥舞)
punch<,>/pʌntʃ/<,>/pʌntʃ/<,>v.用拳猛击/n.冲压机<,>He punched the wall in frustration.<,>他沮丧地用拳头猛击墙壁。<,>The machine uses a punch to create holes in metal.<,>这台机器用冲压机在金属上打孔。<,>She gave him a playful punch on the arm.<,>她开玩笑地在他手臂上打了一拳。<,>pun(谐音“砰”)+ch→“砰”的一声→猛击<,>punch(v.用拳猛击)/lunch(n.午餐)/bunch(n.一束/v.捆起)

calculator<,>/ˈkælkjʊleɪtə(r)/<,>/ˈkælkjəˌleɪtər/<,>n.计算器/n.计算者<,>I need a calculator to solve this math problem.<,>我需要计算器来解决这个数学问题。<,>He works as a calculator for the accounting firm.<,>他在会计事务所担任计算员。<,>The calculator's battery needs to be replaced.<,>计算器的电池需要更换了。<,>calcul(计算)+ator(人或物)→计算器/计算者<,>calculate(v.计算)/speculator(n.投机者)/accumulator(n.蓄电池)

plate<,>/pleɪt/<,>/pleɪt/<,>n.盘/v.电镀<,>She put the food on a plate.<,>她把食物放在盘子上。<,>The jewelry was plated with gold.<,>这件首饰镀了金。<,>He ate a plate of spaghetti for dinner.<,>他晚餐吃了一盘意大利面。<,>plat(平的)+e→平的物体→盘子<,>plate(n.盘)/planet(n.行星)/palate(n.上颚/味觉)

disclose<,>/dɪsˈkləʊz/<,>/dɪsˈkloʊz/<,>v.揭开/v.揭发/v.透露<,>The company refused to disclose its financial records.<,>公司拒绝公开其财务记录。<,>She disclosed the secret to her best friend.<,>她向最好的朋友透露了这个秘密。<,>The investigation disclosed new evidence.<,>调查揭露了新的证据。<,>dis(不)+close(关闭)→不关闭→公开<,>disclose(v.揭露)/enclose(v.围住)/foreclose(v.取消抵押品赎回权)

communication<,>/kəˌmjuːnɪˈkeɪʃn/<,>/kəˌmjunɪˈkeɪʃən/<,>n.通讯/n.传达/n.交通<,>Good communication is key to a successful relationship.<,>良好的沟通是成功关系的关键。<,>The communication between the two countries has improved.<,>两国之间的交流有所改善。<,>The city's communication system is very efficient.<,>这座城市的交通系统非常高效。<,>communic(交流)+ation(行为)→交流行为<,>communication(n.通讯)/communion(n.共享/圣餐)/community(n.社区)

slide<,>/slaɪd/<,>/slaɪd/<,>v.滑/n.滑<,>The children love to slide down the hill.<,>孩子们喜欢从山坡上滑下来。<,>There's a water slide at the amusement park.<,>游乐园里有一个水滑梯。<,>She slid the document across the table.<,>她把文件滑过桌子。<,>sl(滑的发音)+ide→滑的动作<,>slide(v.滑)/glide(v.滑翔)/slime(n.黏液)

candidate<,>/ˈkændɪdət/<,>/ˈkændɪˌdeɪt/<,>n.候选人/n.投考者<,>There are three candidates for the position.<,>这个职位有三名候选人。<,>He was a candidate for the scholarship.<,>他是奖学金的申请者之一。<,>The presidential candidate gave a speech.<,>总统候选人发表了演讲。<,>candid(白色)+ate→穿白袍的人→候选人(古罗马候选人穿白袍)<,>candidate(n.候选人)/delegate(n.代表)/advocate(n.拥护者)

mount<,>/maʊnt/<,>/maʊnt/<,>v.登上/v.爬上/n.…山<,>We will mount the hill at dawn.<,>我们将在黎明时分登上那座山。<,>Mount Everest is the highest peak in the world.<,>珠穆朗玛峰是世界最高峰。<,>He mounted his bicycle and rode away.<,>他骑上自行车离开了。<,>mount(山)→登山→登上<,>mount(v.登上)/amount(n.数量)/dismount(v.下马)

rat<,>/ræt/<,>/ræt/<,>n.老鼠/n.耗子<,>There's a rat in the basement.<,>地下室里有只老鼠。<,>He was called a rat for betraying his friends.<,>他因为背叛朋友而被叫做叛徒。<,>The lab uses rats for experiments.<,>实验室用老鼠做实验。<,>rat(老鼠)→与cat(猫)相对<,>rat(n.老鼠)/bat(n.蝙蝠)/vat(n.大桶)

neighbour<,>/ˈneɪbə(r)/<,>/ˈneɪbər/<,>n.邻居/n.邻人/n.邻国<,>Our new neighbour is very friendly.<,>我们的新邻居非常友好。<,>Canada is America's neighbour to the north.<,>加拿大是美国北方的邻国。<,>He borrowed a ladder from his neighbour.<,>他向邻居借了梯子。<,>neigh(近)+bour(居住)→住在附近的人<,>neighbour(n.邻居)/neighborhood(n.街区)/labour(n.劳动)
ceremony<,>/ˈserəməni/<,>/ˈsɛrəˌmoʊni/<,>n.典礼/n.仪式/n.礼节<,>The wedding ceremony was beautiful and touching.<,>婚礼仪式美丽而感人。<,>He always observes the ceremony of shaking hands.<,>他总是遵循握手的礼节。<,>The graduation ceremony will be held next week.<,>毕业典礼将于下周举行。<,>cere(蜡)+mony(状态)→古代仪式常用蜡烛→仪式<,>ceremonial(adj.仪式的)/ceremonious(adj.隆重的)/serious(adj.严肃的)

fiction<,>/ˈfɪkʃn/<,>/ˈfɪkʃən/<,>n.小说/n.虚构/n.杜撰<,>She enjoys reading science fiction novels.<,>她喜欢读科幻小说。<,>His story turned out to be pure fiction.<,>他的故事原来是纯属虚构。<,>The line between fact and fiction is often blurred.<,>事实与虚构之间的界限常常模糊不清。<,>fict(塑造)+ion(名词后缀)→塑造的故事→小说<,>faction(n.派系)/friction(n.摩擦)/fictitious(adj.虚构的)

determine<,>/dɪˈtɜːmɪn/<,>/dɪˈtɜːrmɪn/<,>v.查明/v.决定/v.决心<,>Scientists are trying to determine the cause of the disease.<,>科学家们正在努力查明这种疾病的病因。<,>Your attitude determines your altitude.<,>你的态度决定你的高度。<,>She determined to finish the project on time.<,>她决心按时完成这个项目。<,>de(完全)+termine(界限)→完全划清界限→决定<,>terminate(v.终止)/terminal(n.终点站)/determination(n.决心)

plan<,>/plæn/<,>/plæn/<,>n.计划/n.打算/v.计划/v.打算<,>We need to make a plan for the weekend.<,>我们需要为周末制定一个计划。<,>He plans to travel around the world next year.<,>他计划明年环游世界。<,>The city has a five-year development plan.<,>这个城市有一个五年发展计划。<,>plane(平面)→在平面上绘制→计划<,>plane(n.飞机)/plant(n.植物)/plain(adj.简单的)

Greek<,>/ɡriːk/<,>/ɡrik/<,>adj.希腊的/n.希腊人<,>Greek mythology is fascinating.<,>希腊神话很迷人。<,>He is a Greek living in London.<,>他是一个住在伦敦的希腊人。<,>I'm learning Greek history at university.<,>我在大学学习希腊历史。<,>Greece(希腊)+k→希腊的/希腊人<,>geek(n.极客)/green(adj.绿色的)/gleek(n.一种纸牌游戏)

party<,>/ˈpɑːti/<,>/ˈpɑːrti/<,>n.聚会/n.党/n.党派<,>We're having a birthday party for Tom.<,>我们正在为汤姆举办生日派对。<,>She joined the political party last year.<,>她去年加入了那个政党。<,>The party lasted until midnight.<,>聚会持续到午夜。<,>part(部分)+y→部分人组成的团体→党派<,>partner(n.伙伴)/partial(adj.部分的)/parity(n.平等)

further<,>/ˈfɜːðə(r)/<,>/ˈfɜːrðər/<,>adv.更远地/adj.更远的<,>We need to investigate this matter further.<,>我们需要进一步调查这件事。<,>The supermarket is further down the road.<,>超市在这条路的更远处。<,>For further information, please contact us.<,>如需更多信息，请联系我们。<,>far(远)的比较级→更远的<,>farther(adj.更远的)/feather(n.羽毛)/furniture(n.家具)

radio<,>/ˈreɪdiəʊ/<,>/ˈreɪdioʊ/<,>n.无线电/n.收音机<,>I listen to the news on the radio every morning.<,>我每天早上听收音机里的新闻。<,>The ship sent a distress signal by radio.<,>这艘船通过无线电发出了求救信号。<,>Radio waves are used for communication.<,>无线电波用于通信。<,>radi(辐射)+o→通过辐射传播→无线电<,>radial(adj.放射状的)/radiant(adj.发光的)/radius(n.半径)

contribute<,>/kənˈtrɪbjuːt/<,>/kənˈtrɪbjut/<,>v.捐献/v.捐助/v.投稿<,>Many people contributed to the charity event.<,>许多人为慈善活动捐款。<,>She contributes articles to the magazine monthly.<,>她每月向杂志投稿文章。<,>Smoking contributes to lung cancer.<,>吸烟会导致肺癌。<,>con(共同)+tribute(给予)→共同给予→捐献<,>distribute(v.分配)/attribute(v.归因于)/retribution(n.报应)

catalog<,>/ˈkætəlɒɡ/<,>/ˈkætəlɔːɡ/<,>n.目录/n.目录册<,>Please check the catalog for available products.<,>请查看目录中的可用产品。<,>The library has an online catalog of books.<,>图书馆有一个在线图书目录。<,>I received a product catalog in the mail.<,>我收到了一份邮寄来的产品目录。<,>cata(完全)+log(说)→完全列出→目录<,>dialogue(n.对话)/prologue(n.序言)/analogue(n.类似物)
coward<,>/ˈkaʊəd/<,>/ˈkaʊərd/<,>n.懦夫/n.胆怯者<,>He was called a coward for running away from the fight.<,>他因为临阵脱逃被称为懦夫。<,>Don't be such a coward—stand up for yourself!<,>别这么胆小——为自己站出来！<,>The coward hid behind his friends when trouble came.<,>麻烦来临时，这个胆小鬼躲在了朋友身后。<,>cow(牛)+ard(人)→像牛一样胆小的人→懦夫<,>cower(v.畏缩)/cow(n.母牛)/toward(prep.向)

apply<,>/əˈplaɪ/<,>/əˈplaɪ/<,>v.应用/v.实施/v.使用<,>You should apply sunscreen before going outside.<,>出门前应该涂防晒霜。<,>This rule applies to everyone in the company.<,>这条规定适用于公司里的每个人。<,>She applied for a job at the new hospital.<,>她申请了新医院的工作。<,>ap(强调)+ply(折叠)→把东西折叠使用→应用<,>reply(v.回答)/supply(v.供应)/applaud(v.鼓掌)

throat<,>/θrəʊt/<,>/θroʊt/<,>n.咽喉/n.喉咙/n.嗓音<,>I have a sore throat and can't speak loudly.<,>我喉咙痛，不能大声说话。<,>He cleared his throat before beginning his speech.<,>他开始演讲前清了清嗓子。<,>The singer has an amazing throat for high notes.<,>这位歌手有惊人的高音嗓音。<,>th(音似"嘶")+roat(road路)→声音的通道→喉咙<,>throne(n.王座)/throttle(v.掐脖子)/troat(古语：喉咙)

ice<,>/aɪs/<,>/aɪs/<,>n.冰/n.冰块/v.冰敷<,>The pond was covered with a thin layer of ice.<,>池塘上覆盖着一层薄冰。<,>Would you like some ice in your drink?<,>你的饮料要加冰吗？<,>She iced her sprained ankle to reduce swelling.<,>她用冰敷扭伤的脚踝以减轻肿胀。<,>i(我)+ce(拼音"测")→我测量冰的厚度→冰<,>ace(n.王牌)/lice(n.虱子)/vice(n.恶习)

piano<,>/piˈænəʊ/<,>/piˈænoʊ/<,>n.钢琴<,>She has been playing the piano since she was five.<,>她从五岁就开始弹钢琴了。<,>The grand piano in the concert hall sounded magnificent.<,>音乐厅里的三角钢琴听起来非常壮观。<,>He composed this piece specifically for piano and violin.<,>他专门为钢琴和小提琴创作了这首曲子。<,>pian(拼音"偏")+o(形状)→偏圆形的乐器→钢琴<,>pianist(n.钢琴家)/pianoforte(n.钢琴旧称)/piccolo(n.短笛)

discuss<,>/dɪˈskʌs/<,>/dɪˈskʌs/<,>v.讨论/v.谈论/v.论述<,>We need to discuss the details of the project tomorrow.<,>我们明天需要讨论项目的细节。<,>The panel will discuss climate change issues.<,>专家小组将讨论气候变化问题。<,>His book discusses the history of ancient Rome.<,>他的书论述了古罗马的历史。<,>dis(分开)+cuss(震动)→把想法震动分开→讨论<,>disgust(v.厌恶)/discus(n.铁饼)/discourse(n.论述)

neat<,>/niːt/<,>/niːt/<,>adj.整洁的<,>Her desk is always neat and organized.<,>她的桌子总是整洁有序。<,>He made a neat pile of all his books.<,>他把所有的书整齐地堆成一摞。<,>The carpenter did a neat job on the cabinet.<,>木匠做的橱柜很整洁。<,>n(形似门)+eat(吃)→门里吃得很干净→整洁的<,>net(n.网)/meet(v.遇见)/heat(n.热)

refresh<,>/rɪˈfreʃ/<,>/rɪˈfreʃ/<,>v.使清新/v.恢复精神<,>A cold shower will refresh you after the long flight.<,>长途飞行后洗个冷水澡会让你精神焕发。<,>I need to refresh my memory about the meeting details.<,>我需要重新回忆会议细节。<,>The website refreshes automatically every 5 minutes.<,>网站每5分钟自动刷新一次。<,>re(再)+fresh(新鲜)→再次新鲜→恢复精神<,>refrain(v.克制)/refreshment(n.茶点)/freshen(v.使新鲜)

curiosity<,>/ˌkjʊəriˈɒsəti/<,>/ˌkjʊriˈɑːsəti/<,>n.好奇/n.好奇心/n.珍品<,>Children have a natural curiosity about the world.<,>孩子们对世界有着天然的好奇心。<,>The museum has many curiosities from ancient times.<,>博物馆有许多古代的珍品。<,>Her curiosity led her to discover the secret.<,>她的好奇心让她发现了这个秘密。<,>cur(关心)+ios(多)+ity(性质)→非常关心的性质→好奇心<,>curious(adj.好奇的)/curio(n.古董)/cure(v.治愈)

divide<,>/dɪˈvaɪd/<,>/dɪˈvaɪd/<,>v.分/v.分开/v.分配<,>The river divides the city into two parts.<,>这条河把城市分成两部分。<,>We need to divide the work equally among team members.<,>我们需要在团队成员间平均分配工作。<,>Cells divide rapidly during early development.<,>细胞在早期发育时快速分裂。<,>di(二)+vide(看)→分成两部分看→分开<,>divine(adj.神圣的)/diverge(v.分歧)/dividend(n.红利)
leader<,>/ˈliːdə(r)/<,>/ˈliːdər/<,>n.领袖/n.领导人/n.首领<,>She is a great leader who inspires her team.<,>她是一位激励团队的伟大领袖。<,>The leader of the group made the final decision.<,>团队的领导人做出了最终决定。<,>He was chosen as the leader of the expedition.<,>他被选为探险队的首领。<,>lead(领导)+er(人)→领导人<,>reader(n.读者)/loader(n.装载机)/leaner(n.学习者)

fibre<,>/ˈfaɪbə(r)/<,>/ˈfaɪbər/<,>n.纤维质/n.纤维<,>This fabric is made from natural fibres.<,>这种布料是由天然纤维制成的。<,>Eating more fibre is good for digestion.<,>多吃纤维质对消化有好处。<,>The rope is strong because it contains synthetic fibres.<,>这根绳子很结实，因为它含有合成纤维。<,>fib(纤维)+re→纤维<,>fiber(美式拼写)/fever(n.发烧)/fable(n.寓言)

trim<,>/trɪm/<,>/trɪm/<,>adj.整齐的/v.使整齐<,>She keeps her garden neatly trimmed.<,>她把花园修剪得很整齐。<,>He asked the barber to trim his hair.<,>他让理发师修剪他的头发。<,>The room looks clean and trim.<,>房间看起来干净整洁。<,>tri(三)+m→三面都整齐→整齐的<,>tram(n.有轨电车)/tribe(n.部落)/triumph(n.胜利)

baby<,>/ˈbeɪbi/<,>/ˈbeɪbi/<,>n.婴儿/n.孩子气的人<,>The baby is sleeping peacefully.<,>婴儿正在安静地睡觉。<,>Don't be such a baby and face the challenge.<,>别这么孩子气，面对挑战吧。<,>She loves playing with her baby sister.<,>她喜欢和她的小妹妹玩。<,>ba(拼音"爸")+by→爸爸的孩子→婴儿<,>babe(n.宝贝)/body(n.身体)/bumpy(adj.颠簸的)

wooden<,>/ˈwʊdn/<,>/ˈwʊdn/<,>adj.木制的/adj.呆板的<,>The table is made of wooden planks.<,>这张桌子是用木板制成的。<,>His acting was rather wooden in that play.<,>他在那出戏中的表演相当呆板。<,>She placed the vase on the wooden shelf.<,>她把花瓶放在木架上。<,>wood(木头)+en(形容词后缀)→木制的<,>woolen(adj.羊毛的)/wooded(adj.树木繁茂的)/woodpecker(n.啄木鸟)

clap<,>/klæp/<,>/klæp/<,>v.拍手/v.拍/v.轻拍<,>The audience clapped after the performance.<,>表演结束后观众鼓掌。<,>She clapped her hands in excitement.<,>她兴奋地拍手。<,>He clapped me on the back to congratulate me.<,>他轻拍我的背以示祝贺。<,>c(形状像手)+lap(膝盖)→手拍膝盖→拍手<,>clip(n.夹子/v.剪)/clasp(n.扣子/v.紧握)/clan(n.氏族)

vibrate<,>/vaɪˈbreɪt/<,>/ˈvaɪbreɪt/<,>v.使颤动<,>The phone vibrated on the table.<,>手机在桌子上震动。<,>The strings vibrate when you pluck them.<,>当你拨动琴弦时它们会颤动。<,>The whole building vibrated during the earthquake.<,>地震时整栋楼都在颤动。<,>vibr(振动)+ate(动词后缀)→使颤动<,>vibrant(adj.充满活力的)/vibration(n.振动)/violate(v.违反)

honest<,>/ˈɒnɪst/<,>/ˈɑːnɪst/<,>adj.诚实的<,>He is an honest businessman.<,>他是个诚实的商人。<,>To be honest, I don't like this idea.<,>说实话，我不喜欢这个主意。<,>Her honest answer surprised everyone.<,>她诚实的回答让所有人惊讶。<,>hon(荣誉)+est(最高级)→最荣誉的→诚实的<,>honey(n.蜂蜜)/honor(n.荣誉)/host(n.主人)

necklace<,>/ˈnekləs/<,>/ˈnekləs/<,>n.项链/n.项圈<,>She wore a beautiful pearl necklace.<,>她戴着一条漂亮的珍珠项链。<,>The dog's necklace has its name on it.<,>狗的项圈上有它的名字。<,>He gave her a diamond necklace for their anniversary.<,>他送给她一条钻石项链作为周年纪念礼物。<,>neck(脖子)+lace(带子)→脖子上的带子→项链<,>neckline(n.领口)/necktie(n.领带)/bracket(n.支架)

blame<,>/bleɪm/<,>/bleɪm/<,>v.责备/v.把...归咎于<,>Don't blame others for your mistakes.<,>不要把自己的错误归咎于别人。<,>She blamed the bad weather for the delay.<,>她把延误归咎于恶劣的天气。<,>He took the blame for the accident.<,>他承担了事故的责任。<,>b(不)+lame(跛的)→不跛的人被责备→责备<,>flame(n.火焰)/frame(n.框架)/lame(adj.跛的)
substance<,>/ˈsʌbstəns/<,>/ˈsʌbstəns/<,>n.物质/n.实质/n.本旨<,>Water is a vital substance for all living organisms.<,>水是所有生物体必需的重要物质。<,>The substance of his argument was difficult to understand.<,>他论点的实质很难理解。<,>Let's get to the substance of the matter.<,>让我们谈谈事情的本质。<,>sub(在...下)+stance(站立)→在表面之下→实质<,>substantial(adj.大量的/n.实质)/instance(n.例子/v.举例)/distance(n.距离/v.疏远)  

merry<,>/ˈmeri/<,>/ˈmɛri/<,>adj.欢乐的/adj.愉快的<,>The children were merry as they played in the park.<,>孩子们在公园里玩得很开心。<,>We had a merry time at the Christmas party.<,>我们在圣诞派对上玩得很愉快。<,>His merry laughter filled the room.<,>他欢快的笑声充满了房间。<,>联想"marry"(结婚)→结婚是欢乐的事<,>marry(v.结婚)/merry-go-round(n.旋转木马)/berry(n.浆果)  

fountain<,>/ˈfaʊntən/<,>/ˈfaʊntən/<,>n.泉水/n.喷泉/n.源泉<,>The fountain in the square is a popular meeting spot.<,>广场上的喷泉是受欢迎的聚会地点。<,>She is a fountain of knowledge about ancient history.<,>她是古代历史知识的源泉。<,>Mineral water comes from natural fountains.<,>矿泉水来自天然泉水。<,>mount(山)+tain(保持)→山间保持的水→泉水<,>mountain(n.山)/captain(n.船长)/contain(v.包含)  

surroundings<,>/səˈraʊndɪŋz/<,>/səˈraʊndɪŋz/<,>n.周围的事物/n.环境<,>She grew up in comfortable surroundings.<,>她在舒适的环境中长大。<,>The hotel is set in beautiful surroundings.<,>酒店坐落在美丽的环境中。<,>He quickly adapted to his new surroundings.<,>他很快适应了新环境。<,>sur(周围)+round(圆)+ings→周围的事物<,>surround(v.包围)/roundabout(n.环形交叉路)/ground(n.地面)  

chair<,>/tʃeə(r)/<,>/tʃɛr/<,>n.椅子/n.主席<,>Please have a seat in that chair.<,>请坐在那把椅子上。<,>She was elected chair of the committee.<,>她被选为委员会主席。<,>The antique chair is worth a lot of money.<,>这把古董椅子很值钱。<,>ch(音似"坐")+air(空气)→坐在空气上→椅子<,>hair(n.头发)/stair(n.楼梯)/pair(n.一对)  

procession<,>/prəˈseʃn/<,>/prəˈsɛʃən/<,>n.队伍/n.行列<,>A wedding procession moved slowly down the aisle.<,>婚礼队伍缓缓走过通道。<,>The religious procession attracted many spectators.<,>宗教游行吸引了许多观众。<,>The graduates walked in procession to receive their diplomas.<,>毕业生列队领取毕业证书。<,>pro(向前)+cess(走)+ion→向前走的队伍<,>process(n.过程/v.加工)/profession(n.职业)/possession(n.拥有)  

back<,>/bæk/<,>/bæk/<,>adv.回原处/adv.回/adv.在后<,>Please put the book back on the shelf.<,>请把书放回书架上。<,>He'll be back in an hour.<,>他一小时后回来。<,>Stand back from the edge of the cliff.<,>站在离悬崖边缘远些的地方。<,>与"pack"(打包)对比→打包带回家<,>pack(n.包/v.打包)/black(adj.黑色的)/bank(n.银行)  

jacket<,>/ˈdʒækɪt/<,>/ˈdʒækɪt/<,>n.短上衣/n.茄克衫<,>He wore a leather jacket to the party.<,>他穿了一件皮夹克去参加派对。<,>This book has a colorful jacket.<,>这本书有彩色的护封。<,>She put on her jacket before going outside.<,>她出门前穿上了外套。<,>jack(人名)+et(小)→Jack的小衣服<,>packet(n.小包)/racket(n.球拍)/pocket(n.口袋)  

rifle<,>/ˈraɪfl/<,>/ˈraɪfəl/<,>n.步枪/n.来复枪<,>The soldier cleaned his rifle carefully.<,>士兵仔细地擦拭他的步枪。<,>Hunting with rifles is prohibited in this area.<,>这个地区禁止用步枪打猎。<,>The museum displays antique rifles from the 18th century.<,>博物馆展出18世纪的古董步枪。<,>rife(普遍的)+l→普遍使用的武器<,>trifle(n.琐事)/ripple(n.涟漪)/wrinkle(n.皱纹)  

our<,>/aʊə(r)/<,>/aʊr/<,>pron.我们的<,>Our team won the championship.<,>我们的团队赢得了冠军。<,>This is our new house.<,>这是我们的新房子。<,>Our parents will visit us next week.<,>我们的父母下周会来看我们。<,>与"hour"(小时)同音不同义<,>hour(n.小时)/sour(adj.酸的)/flour(n.面粉)
low<,>/ləʊ/<,>/loʊ/<,>adj.低的/adj.矮的/adj.低下的<,>The temperature is very low today.<,>今天气温很低。<,>He has a low opinion of that movie.<,>他对那部电影评价很低。<,>She spoke in a low voice.<,>她低声说话。<,>反义词high(高的)<,>slow(adj.慢的)/blow(v.吹)

opponent<,>/əˈpəʊnənt/<,>/əˈpoʊnənt/<,>n.对手/n.敌手/n.对抗者<,>He defeated his opponent in the chess match.<,>他在国际象棋比赛中击败了对手。<,>The politician debated with his opponent.<,>这位政治家与对手进行了辩论。<,>She is a tough opponent to beat.<,>她是个很难打败的对手。<,>op(反对)+pon(放置)+ent→反对者<,>component(n.部件)/proponent(n.支持者)

pretend<,>/prɪˈtend/<,>/prɪˈtɛnd/<,>v.假装<,>The children pretended to be pirates.<,>孩子们假装是海盗。<,>Don't pretend you don't know the answer.<,>别假装你不知道答案。<,>She pretended to be asleep when I entered.<,>我进来时她假装睡着了。<,>pre(前)+tend(伸展)→提前伸展→假装<,>intend(v.打算)/extend(v.延伸)

bathroom<,>/ˈbɑːθruːm/<,>/ˈbæθˌrum/<,>n.浴室/n.盥洗室<,>I need to go to the bathroom.<,>我需要去洗手间。<,>The bathroom is on the second floor.<,>浴室在二楼。<,>She decorated her bathroom in blue.<,>她把浴室装饰成蓝色。<,>bath(洗澡)+room(房间)→浴室<,>bedroom(n.卧室)/living room(n.客厅)

champion<,>/ˈtʃæmpiən/<,>/ˈtʃæmpiən/<,>n.冠军/n.得胜者<,>She became the world champion last year.<,>她去年成为了世界冠军。<,>The team is defending its champion title.<,>该队正在卫冕冠军头衔。<,>He is a champion of human rights.<,>他是人权的捍卫者。<,>champ(战场)+ion→战场上的胜利者<,>champagne(n.香槟)/campaign(n.运动)

jump<,>/dʒʌmp/<,>/dʒʌmp/<,>v.跳/v.暴涨<,>The cat jumped onto the table.<,>猫跳到了桌子上。<,>Stock prices jumped yesterday.<,>昨天股价暴涨。<,>He jumped over the puddle.<,>他跳过了水坑。<,>拟声词，模仿跳跃的声音<,>bump(n.肿块)/dump(v.倾倒)

count<,>/kaʊnt/<,>/kaʊnt/<,>v.计算/v.数/v.计数<,>Can you count to ten in English?<,>你能用英语数到十吗？<,>Every vote counts in the election.<,>选举中每一票都很重要。<,>I lost count of how many times we've met.<,>我记不清我们见过多少次了。<,>counter(n.柜台)的动词形式<,>account(n.账户)/discount(n.折扣)

vivid<,>/ˈvɪvɪd/<,>/ˈvɪvɪd/<,>adj.生动的/adj.鲜艳的<,>She gave a vivid description of her trip.<,>她生动地描述了她的旅行。<,>The painting has vivid colors.<,>这幅画色彩鲜艳。<,>I have a vivid memory of that day.<,>我对那天记忆犹新。<,>viv(生命)+id→有生命力的→生动的<,>vividly(adv.生动地)/divide(v.分开)

biscuit<,>/ˈbɪskɪt/<,>/ˈbɪskɪt/<,>n.(英)饼干/n.(美)软饼<,>Would you like a biscuit with your tea?<,>你想来块饼干配茶吗？<,>She baked some biscuits for the party.<,>她为聚会烤了些饼干。<,>This is my grandma's special biscuit recipe.<,>这是我奶奶的特制饼干食谱。<,>bis(两次)+cuit(烤)→烤两次的食物<,>bouquet(n.花束)/banquet(n.宴会)

orange<,>/ˈɒrɪndʒ/<,>/ˈɔːrɪndʒ/<,>n.橙(树)/n.柑(树)<,>I drink orange juice every morning.<,>我每天早上喝橙汁。<,>The sunset was a beautiful orange color.<,>日落呈现出美丽的橙色。<,>She peeled the orange carefully.<,>她小心地剥橙子。<,>or(金色)+ange→金色的水果<,>origin(n.起源)/arrange(v.安排)
